temperature,humidity,ph,label
24.645647,92.105264,6.511655,granada
26.035034,80.686883,5.984539,plátano
24.534426,88.989272,6.140099,sandía
25.717694,71.162845,6.261925,maíz
29.503048,63.465134,5.560225,frijol de palo
18.871430,15.101426,7.120662,garbanzo
34.862322,81.091252,6.211961,uva
33.864294,61.570725,6.573532,frijol urad
28.059124,98.367098,5.868256,coco
29.397538,89.320372,6.682244,frijol chino
23.059519,62.922028,7.210965,café
22.132018,83.845369,7.251114,algodón
27.088080,93.424021,6.781050,melón
19.529674,16.995963,6.465090,garbanzo
21.267002,93.372498,6.335372,naranja
23.539577,89.758348,6.134050,granada
26.346384,77.058049,6.193007,plátano
23.194511,91.403016,6.502289,papaya
28.981005,90.503030,6.030998,coco
28.198929,61.189240,4.038609,frijol moth
18.624784,63.006043,6.238546,lenteja
34.889551,48.777502,6.424466,mango
27.692979,94.267655,7.254213,naranja
30.801423,42.362642,4.672336,frijol moth
23.815266,21.812567,5.526551,frijol rojo
29.046290,91.078587,5.711596,coco
22.627463,77.470082,7.083572,algodón
23.255834,82.701593,7.124334,yute
30.902886,52.087478,6.844644,mango
27.667528,79.685428,6.490074,plátano
23.109427,92.796308,6.383180,manzana
25.258301,64.099774,7.721431,lenteja
28.103178,54.766724,9.499318,frijol moth
42.739474,92.826911,6.643212,papaya
26.322248,81.883618,6.641196,yute
20.388881,90.838987,7.819461,naranja
26.716098,96.814831,6.148069,coco
23.504101,78.318745,6.251495,algodón
24.075564,81.400994,7.554990,arroz
32.557292,83.932553,5.877649,uva
22.675945,93.363487,7.477935,naranja
27.974048,91.586202,6.730819,melón
25.630619,81.594585,6.586344,yute
27.079840,91.739341,6.148067,coco
23.816636,81.078619,5.140815,arroz
34.892267,48.756134,6.414527,mango
19.493608,18.561769,7.055516,garbanzo
20.443835,87.610587,6.935279,granada
26.423579,83.973635,5.929705,plátano
22.407421,76.141766,7.438620,algodón
32.958383,47.615910,4.762907,mango
21.794376,92.776310,5.562620,manzana
33.966479,49.301052,7.007720,frijol de palo
18.041855,60.452836,5.513698,maíz
23.977707,80.867008,5.221860,arroz
24.907451,69.635984,5.803874,maíz
24.935183,82.426025,6.530920,algodón
22.451460,76.256749,7.432044,algodón
34.138457,52.823843,6.523540,mango
33.260403,92.865300,6.993062,papaya
33.886100,66.793115,7.565705,frijol urad
22.895088,94.391154,6.074060,manzana
17.148444,14.378264,6.189280,garbanzo
25.386076,57.030573,7.850495,frijol moth
27.094006,43.653054,3.510404,frijol moth
20.525076,90.954380,7.847207,naranja
17.270508,16.788360,7.460472,garbanzo
18.032419,23.387342,5.683747,frijol rojo
41.928606,94.793339,6.678957,papaya
25.424836,83.610869,6.145534,algodón
41.186649,81.017834,5.539981,uva
27.991483,68.876329,7.076122,frijol urad
18.766671,17.578739,7.954217,garbanzo
22.027210,65.355499,6.272418,maíz
31.349201,91.482476,7.181908,naranja
28.802887,94.113976,6.194724,melón
20.152063,81.613632,5.005307,arroz
29.943495,64.532204,5.839719,frijol de palo
34.726551,60.992170,7.650265,frijol urad
19.940105,94.977409,6.852711,granada
24.307486,78.543410,6.186814,yute
28.442671,97.807421,5.840842,coco
23.009078,22.655201,5.852535,frijol rojo
23.724819,92.703273,5.560859,manzana
23.241135,84.592018,7.782051,arroz
26.104995,84.479516,6.080031,plátano
17.819417,82.938161,6.321915,uva
23.731806,72.798999,6.104119,yute
20.616060,84.065219,6.329386,arroz
26.223674,62.265946,6.979591,café
25.881512,93.373942,5.869999,coco
24.921882,82.027896,7.994680,algodón
28.328143,52.909012,8.685784,frijol moth
23.285870,21.963077,5.532041,frijol rojo
17.095412,16.208925,7.572912,garbanzo
10.136649,90.059075,6.212323,naranja
25.434805,81.539778,5.837258,plátano
25.563722,94.673832,5.732688,coco
26.589476,94.600419,6.142937,coco
25.036344,80.454668,5.549777,arroz
21.216073,85.394074,6.155218,granada
29.343088,57.615168,6.823370,frijol moth
31.204782,54.499605,6.804437,mango
17.410954,15.302136,7.730607,garbanzo
20.045414,83.156853,5.926414,arroz
28.250167,99.071084,5.571136,coco
19.453399,18.234907,8.380185,garbanzo
27.159985,51.591008,6.691541,café
27.075864,86.472740,7.119020,frijol chino
27.015813,86.784474,7.096334,frijol chino
33.888934,54.446871,6.326345,mango
21.266193,80.472391,6.468864,arroz
28.705627,81.592007,6.705009,frijol chino
28.130220,94.324237,6.684399,papaya
34.871833,30.400468,4.967753,frijol de palo
31.615655,55.625610,5.618212,frijol de palo
29.138220,94.162868,6.022463,melón
34.600825,63.112968,7.403623,frijol urad
27.012073,60.766453,6.485761,café
8.825675,80.759178,5.907193,uva
31.930113,52.324938,5.301652,frijol moth
40.031906,91.373409,6.522290,papaya
35.676673,93.306419,6.586107,papaya
23.012402,91.156759,6.614140,papaya
28.498885,87.594071,6.571276,frijol chino
20.259350,83.026062,5.808468,arroz
34.946616,65.267740,7.162358,frijol urad
22.771990,92.105465,6.430290,manzana
24.311775,66.245357,7.177084,café
22.374649,90.694898,6.247596,manzana
22.430472,94.719160,5.541870,manzana
35.882344,54.391950,6.384712,mango
18.283622,66.659528,6.829199,maíz
25.997487,89.538565,6.829433,sandía
27.791637,76.563372,6.053456,plátano
24.313018,55.833386,6.995844,maíz
22.598115,82.171758,7.247751,arroz
23.652525,83.445744,5.754445,arroz
35.385987,51.426642,5.254532,mango
26.941900,60.618285,6.469612,café
26.313345,84.555073,6.498810,sandía
25.100854,87.647287,6.585433,sandía
26.561722,57.828571,7.413944,café
37.629013,92.013500,6.973204,papaya
26.621424,73.743205,6.770840,yute
23.891146,57.487758,5.893093,maíz
26.877514,91.049589,5.543276,coco
25.439873,81.004394,6.629944,sandía
38.232594,93.788677,6.745113,papaya
27.911449,90.779597,6.269868,melón
25.491423,91.534655,5.710263,coco
21.450154,80.973644,6.457536,uva
19.033151,23.373654,5.576288,frijol rojo
26.711528,83.763177,7.583064,arroz
27.075454,87.235140,7.141109,frijol chino
26.069773,62.720181,6.713166,café
25.487030,75.436788,6.615507,yute
27.535929,85.570190,7.196774,frijol chino
25.835830,94.567790,5.798814,coco
33.183912,83.629124,5.547931,uva
28.494334,91.809772,6.067985,melón
23.696040,22.955228,5.949998,frijol rojo
22.582793,65.848246,6.751313,maíz
29.023280,90.203968,6.617703,papaya
30.088005,93.213628,7.382101,naranja
30.198006,92.985232,6.343923,naranja
23.045327,76.477640,6.904115,algodón
28.918731,61.230843,6.612152,frijol urad
29.063293,83.681326,6.822956,frijol chino
26.220208,62.379400,7.453650,frijol urad
25.904782,82.061543,6.646407,yute
29.048527,90.764712,6.012310,melón
26.228678,80.438827,7.135130,yute
25.061262,56.018138,5.727192,maíz
27.479358,63.418175,5.845464,frijol moth
25.486760,84.407946,6.794497,sandía
21.749728,80.841951,6.039382,arroz
30.865085,90.241501,6.735294,papaya
22.555870,83.304224,6.655197,arroz
27.891973,63.117649,7.395125,lenteja
29.575550,88.452910,6.546542,frijol chino
24.407177,75.251538,7.737511,algodón
28.914393,90.835002,5.882703,coco
29.240267,68.005902,7.425188,lenteja
24.270516,87.626693,6.080258,sandía
22.436250,93.414179,7.642753,naranja
27.122628,67.904877,7.775306,frijol urad
27.501364,60.727730,6.767087,café
27.003155,47.675254,5.699587,mango
26.445630,80.187341,6.869885,arroz
27.962368,84.154036,5.644487,plátano
20.184323,90.654585,6.969250,naranja
27.558971,51.493867,5.343044,mango
27.396695,54.798004,6.960028,café
24.247825,83.036879,6.653868,sandía
22.961125,90.770765,5.627370,manzana
26.224610,67.860044,7.588960,lenteja
29.357178,62.158981,5.515421,frijol de palo
30.101119,63.974649,5.627485,frijol de palo
26.264983,83.667540,6.239366,sandía
26.482479,80.693411,5.994591,uva
24.964408,81.316776,6.854559,algodón
29.033938,82.198205,5.912563,plátano
25.136570,84.748045,6.061628,plátano
22.139747,23.022511,5.955617,frijol rojo
31.819709,53.330058,5.903199,mango
27.975041,79.038407,5.664851,plátano
18.708730,17.750441,7.907055,garbanzo
27.105175,66.918065,6.148952,lenteja
27.609482,95.347925,5.859120,coco
24.766865,60.172508,6.768379,lenteja
28.278683,85.327216,7.181205,frijol chino
23.371929,66.961855,6.771812,café
31.251293,40.733065,8.552170,frijol moth
21.805231,94.636129,6.658403,granada
33.526882,68.878752,6.669575,frijol urad
10.298347,80.191103,6.465067,uva
15.990507,81.239666,5.734317,uva
29.327420,84.750560,6.973823,frijol chino
31.434506,62.993035,7.760618,frijol urad
25.089661,68.175431,6.559682,lenteja
25.723623,81.377720,6.611540,algodón
22.386901,89.771355,5.683924,granada
29.565492,91.408963,5.826381,coco
28.766864,93.212056,7.459608,naranja
28.689985,87.504368,6.769416,frijol chino
30.535016,90.448735,6.341051,naranja
24.250073,90.577731,6.613172,granada
23.399202,91.418720,5.709189,manzana
29.682646,80.305589,6.492695,frijol chino
24.413300,69.694082,6.624107,maíz
20.257337,89.475035,5.890683,granada
17.182261,20.766616,5.685170,frijol rojo
28.775995,92.605059,6.134662,melón
24.646328,59.041363,8.198697,frijol moth
33.502952,61.709468,6.559868,frijol urad
25.658747,65.544587,7.734532,lenteja
16.837909,24.964739,5.575231,frijol rojo
11.630598,92.088833,6.554261,naranja
26.685437,91.003626,5.567431,coco
25.866324,84.423793,6.079179,plátano
20.840353,14.362377,6.469121,garbanzo
22.856756,76.502123,6.568167,algodón
25.496260,60.336794,5.926359,maíz
23.250843,84.539547,7.766860,arroz
27.505277,80.797840,6.156373,plátano
21.579187,80.280772,6.930247,arroz
27.159806,91.183715,6.356669,melón
33.660776,93.616912,6.704167,papaya
24.684380,80.870030,5.993153,uva
11.599383,91.366266,7.413233,naranja
21.325042,80.474764,6.442475,arroz
24.918913,86.924939,6.211453,sandía
22.894543,91.038196,6.800521,granada
21.022132,24.938963,5.662699,frijol rojo
28.186307,53.186114,5.499104,mango
26.432387,80.026213,6.042003,sandía
23.605066,21.905396,5.525905,frijol rojo
26.834468,81.637527,7.858216,arroz
28.882841,98.097530,5.501580,coco
31.458460,45.254673,5.583576,mango
28.977862,82.017062,5.903762,plátano
29.428597,49.399114,6.846936,mango
24.920688,60.208749,6.057022,lenteja
22.001317,79.341346,7.404206,algodón
25.099887,94.495613,6.547439,naranja
30.409502,81.083638,5.569552,uva
26.040809,94.838046,6.314179,coco
25.603290,62.038568,6.327369,maíz
26.737816,88.409361,6.448839,sandía
24.331419,60.112233,8.993368,frijol moth
18.437270,67.852723,7.639377,lenteja
23.765547,87.983299,6.334838,yute
26.430730,80.861137,6.300966,sandía
12.998895,94.001198,6.392296,naranja
25.008724,91.746248,6.280534,coco
18.965824,15.882801,7.036232,garbanzo
25.412852,66.888791,6.941042,lenteja
31.237364,90.813776,7.204706,naranja
26.373515,67.011511,6.733378,café
20.793460,65.799303,7.052227,lenteja
25.658346,86.967844,6.189346,yute
18.616878,90.837433,6.112356,granada
27.443456,81.026377,6.173192,plátano
29.311035,76.525033,6.407576,plátano
29.469305,92.542728,6.470466,coco
17.921648,17.672323,7.801302,garbanzo
21.674175,93.440604,5.763014,manzana
30.990600,52.764971,7.001946,frijol de palo
24.736174,53.647676,6.297656,café
23.128444,74.683227,6.344752,yute
22.795700,91.952958,6.431932,manzana
25.113731,39.967071,5.636522,frijol de palo
23.664179,46.089068,7.062555,frijol de palo
39.040720,80.183933,6.499605,uva
20.731670,24.527790,5.809577,frijol rojo
23.273091,73.205124,5.847827,maíz
22.822333,91.631205,6.025334,manzana
25.156003,67.885775,6.492960,maíz
33.369844,65.677182,6.874142,frijol urad
27.954860,85.752895,7.042553,frijol chino
31.863017,62.585837,7.355755,frijol urad
21.780144,92.523689,5.558351,manzana
23.778132,90.555462,5.740039,manzana
23.012402,91.081886,6.599862,papaya
27.840589,85.208862,7.022635,frijol chino
16.781933,81.182671,5.760876,uva
19.075588,65.114472,6.069936,maíz
23.924666,84.257412,6.678216,algodón
22.984589,93.320449,5.875719,manzana
17.850193,83.002219,6.301556,uva
18.667467,71.516474,5.721667,maíz
23.120666,61.475246,5.579103,maíz
27.382051,83.043459,5.722165,plátano
27.132393,63.187962,6.500145,frijol urad
27.944018,80.899413,6.247110,frijol chino
27.447186,83.791488,5.853767,plátano
25.276399,50.610479,4.677740,frijol moth
25.058625,82.523888,7.962975,algodón
33.024293,90.112716,6.420284,naranja
29.228791,81.518655,6.865630,frijol chino
27.482166,82.856678,6.310165,plátano
23.601154,82.483370,6.423217,uva
24.101824,58.247394,4.783869,frijol moth
22.510321,93.357929,7.436098,naranja
25.665852,80.663850,6.948020,arroz
13.285043,83.541938,5.699453,uva
24.542675,83.089217,6.154422,yute
25.362438,83.632761,6.176716,algodón
22.443509,93.452682,5.750988,manzana
25.655535,83.470211,7.120273,arroz
22.353300,90.870021,5.720150,manzana
29.928253,63.474319,6.676078,frijol urad
23.950250,57.241339,5.850599,maíz
24.753313,74.829137,6.598863,maíz
25.935066,67.637420,5.607969,maíz
24.842453,73.486218,6.607565,yute
29.897170,81.001375,5.547633,uva
29.259512,79.057367,6.294767,plátano
24.280307,82.808184,7.488014,yute
29.710238,91.350201,5.822218,coco
16.909798,24.837714,5.570666,frijol rojo
29.914544,85.725259,6.406421,frijol chino
18.972019,20.836111,5.665414,frijol rojo
30.914715,49.929639,6.810186,mango
23.022861,93.711880,5.836420,manzana
29.183568,80.407407,5.912859,plátano
24.362967,84.543988,6.502925,algodón
25.162782,84.978492,6.110845,plátano
28.143481,68.574905,7.309599,lenteja
29.064984,94.158174,6.158216,melón
30.202337,48.909497,6.373066,mango
19.667548,90.494245,7.720229,naranja
24.914746,78.705957,6.892541,yute
29.653547,87.970287,6.953098,frijol chino
24.593855,50.728231,5.941684,frijol de palo
22.161084,80.720392,6.027707,arroz
26.004898,97.215633,5.617873,coco
22.240559,90.014247,6.733600,granada
23.248465,81.281739,7.543132,arroz
29.413135,90.015064,6.549470,melón
27.547303,84.542763,6.382657,plátano
24.910647,92.785424,6.755213,papaya
29.382540,83.504237,5.765309,plátano
23.641062,74.931212,6.689424,yute
23.647117,93.740625,5.964351,manzana
24.185532,46.687468,6.669529,frijol de palo
22.790337,83.522402,6.577592,arroz
26.855373,43.735332,6.049187,frijol de palo
27.385390,88.666640,6.702772,frijol chino
14.226947,91.760640,6.013405,naranja
28.092247,83.523646,6.623630,frijol chino
28.108267,95.686177,5.655645,coco
22.824723,61.803242,5.668576,maíz
25.709474,83.342077,5.874045,arroz
23.059519,63.534968,7.233695,café
24.447156,61.219990,7.212942,frijol moth
23.441125,59.957306,6.084239,café
20.396489,23.115331,5.590726,frijol rojo
21.062260,55.460327,5.561834,frijol de palo
23.461683,23.221976,5.645436,frijol rojo
26.168128,87.806585,6.292321,sandía
25.057592,82.497898,6.513016,algodón
18.748882,21.160908,5.880252,frijol rojo
19.375465,67.702800,6.136771,maíz
33.514571,48.947834,6.874739,mango
26.335449,76.853201,6.190757,plátano
27.558619,91.079716,6.708683,melón
42.384445,91.632897,6.730387,papaya
20.552485,90.421188,7.869618,naranja
34.954405,45.786991,6.519825,mango
25.299547,81.775276,6.376201,sandía
22.451533,91.254014,6.006598,manzana
27.656795,94.873983,5.676569,coco
24.405013,79.186585,7.220508,algodón
24.465099,18.225091,5.505542,frijol rojo
26.597225,82.692533,5.749537,plátano
25.882703,96.064902,6.304072,coco
35.810405,51.770627,5.258366,mango
19.542849,66.347773,6.151029,frijol de palo
23.774589,92.750197,5.576443,manzana
23.631407,81.455239,6.735982,algodón
16.396243,92.181519,6.625539,naranja
21.481799,92.730167,7.088575,granada
24.123808,91.108318,6.644492,granada
27.820548,93.035552,6.528404,melón
31.317030,50.275759,5.335509,mango
21.989745,80.582383,6.882150,arroz
29.191032,62.952448,7.935832,frijol moth
29.594509,83.000679,6.416931,frijol chino
22.582501,85.427662,7.130772,granada
33.872063,69.920679,7.426602,frijol urad
29.568437,78.289594,5.505394,plátano
27.982337,91.513828,6.721380,papaya
25.289085,63.265413,6.570666,maíz
26.820656,67.656116,7.351053,frijol urad
22.139900,90.839972,6.228145,manzana
28.985085,91.216088,5.761624,coco
24.943147,54.502640,9.235569,frijol moth
38.775117,93.592102,6.532845,papaya
23.875494,91.703705,7.619538,naranja
26.380226,93.522165,5.933947,coco
22.007104,80.522128,6.261000,arroz
23.393578,94.200446,6.759393,papaya
34.259133,54.396126,4.849108,frijol de palo
28.809619,63.531030,6.687193,frijol urad
23.599973,90.975977,5.596449,manzana
9.911211,80.731077,6.418354,uva
27.223775,69.105501,7.135205,frijol urad
27.063367,66.933020,6.090964,lenteja
24.438474,81.698017,6.757458,algodón
27.521354,60.536577,6.551578,lenteja
28.188288,81.879751,5.785341,plátano
26.419152,76.856912,7.165697,yute
29.252274,81.489324,6.126474,uva
26.830541,90.753800,6.864144,papaya
28.033604,68.069654,7.277638,frijol urad
29.701954,63.384102,5.795256,frijol moth
27.829098,67.979578,7.087947,café
25.001694,72.036346,7.310217,yute
40.595331,82.666135,5.550797,uva
20.573412,19.752022,5.711439,frijol rojo
26.669836,78.197273,6.324960,yute
19.505442,57.046837,4.744870,frijol de palo
35.548348,92.123073,6.564385,papaya
28.894094,54.807502,6.472775,mango
28.073097,63.495119,7.594892,lenteja
23.078851,21.195262,5.893081,frijol rojo
25.992374,77.054355,7.368258,algodón
30.996947,46.426937,9.406888,frijol moth
21.067922,24.883008,5.653907,frijol rojo
23.352596,84.565039,6.642770,yute
28.029526,84.884573,6.556373,frijol chino
33.647696,48.414901,7.066087,frijol de palo
29.485260,90.554122,6.727159,melón
31.270017,56.143957,7.329111,frijol de palo
17.141861,17.066243,7.829211,garbanzo
27.125083,66.926683,6.939493,frijol urad
37.222345,83.223107,5.793250,uva
29.201554,87.859274,6.550600,frijol chino
24.390282,20.978877,5.664871,frijol rojo
31.555143,62.186273,7.310879,frijol urad
24.838137,53.272388,6.365145,café
10.181300,82.449180,5.846734,uva
25.447532,69.961000,7.143953,frijol urad
22.528255,91.677332,5.808874,manzana
23.559768,92.973866,5.810683,granada
31.998554,52.145592,5.400693,mango
24.471056,80.392097,7.166614,arroz
22.962280,46.357941,6.732085,frijol de palo
25.187198,79.127499,7.479868,algodón
17.180575,16.534945,7.621840,garbanzo
20.403819,24.773604,5.673787,frijol rojo
26.125889,86.550794,6.000976,sandía
33.197152,60.065349,7.642448,frijol urad
28.278043,93.647613,6.095261,coco
25.758542,60.533280,7.407038,lenteja
29.873775,93.259482,6.448518,melón
29.628007,90.100516,6.075144,melón
18.892159,74.337008,6.110959,maíz
26.506114,83.920083,6.264504,arroz
28.122311,51.458800,4.709447,mango
24.906770,53.689403,6.314153,café
23.351127,91.394411,7.405904,naranja
23.962814,48.069236,6.698868,frijol de palo
25.915616,90.615336,5.879547,coco
26.461660,94.714873,6.167232,coco
27.519198,51.364048,6.104548,frijol moth
19.470614,23.776572,5.570798,frijol rojo
24.790401,92.752086,6.785390,papaya
19.806365,18.341977,7.354592,garbanzo
9.564426,80.528821,5.898469,uva
29.390843,92.012230,6.470466,coco
39.217019,92.861485,6.978438,papaya
30.864689,66.970162,6.380710,frijol de palo
27.428350,80.992590,6.131451,plátano
21.910410,65.216625,5.962001,lenteja
29.129293,88.178205,7.062180,frijol chino
26.733858,52.559040,6.211964,café
18.556488,68.935237,5.725689,maíz
17.508085,16.720137,6.856740,garbanzo
20.407358,16.337518,8.127243,garbanzo
18.635022,15.995416,7.490596,garbanzo
26.549864,72.891873,5.787268,maíz
29.060721,90.921915,6.027432,melón
23.946526,86.797805,6.751962,yute
27.955145,96.176637,5.531843,coco
36.678673,80.577155,5.760743,uva
21.122438,85.675740,6.082550,granada
28.765532,94.235554,6.295960,coco
17.336977,15.168571,6.712082,garbanzo
18.319104,36.553055,6.638740,frijol de palo
19.862282,21.541177,5.741633,frijol rojo
26.249282,54.286178,6.854011,café
23.737319,90.889205,5.569363,manzana
22.930832,94.515225,6.067517,manzana
26.031420,78.359762,6.242901,plátano
32.035172,51.994356,5.088834,mango
21.326689,80.345566,6.430936,arroz
17.966688,18.092240,5.613255,frijol rojo
25.058022,84.973237,5.738679,plátano
29.757506,88.469734,7.162378,frijol chino
27.641470,93.354759,6.501521,papaya
10.010813,93.676447,7.831304,naranja
25.560022,57.325385,7.436099,café
21.458813,94.659163,5.911011,granada
27.323926,94.846128,6.467529,melón
30.118730,60.116808,6.578715,frijol urad
23.936848,74.288938,6.787121,yute
29.308533,78.129440,5.820938,plátano
23.265872,90.619524,6.660792,papaya
25.151241,75.722442,6.224209,algodón
24.271031,90.941917,6.154857,granada
38.365135,81.966098,6.014786,uva
18.701728,35.376922,5.037151,frijol de palo
18.460077,62.340411,6.030369,maíz
29.891291,80.144872,7.120032,frijol chino
18.253351,14.629368,6.586728,garbanzo
25.181987,84.813494,6.182092,plátano
25.634323,80.268139,6.192281,sandía
19.726205,89.649342,6.910375,granada
29.067056,76.114146,5.633753,plátano
29.646343,66.465249,6.502238,lenteja
39.123875,82.204384,6.282497,uva
30.019317,46.045306,5.472833,frijol moth
26.628880,80.122675,6.911359,arroz
23.410225,76.438370,7.442217,algodón
32.821411,47.455538,4.755274,mango
27.641273,90.015064,6.759962,melón
18.369526,19.563810,7.152811,garbanzo
20.523350,14.338854,6.364988,garbanzo
33.142311,83.949791,5.883525,uva
25.446983,83.284552,6.925808,sandía
26.636349,84.431901,6.562689,sandía
23.378123,61.536521,5.910982,maíz
23.797461,74.829137,6.252798,maíz
22.000851,79.701235,7.455866,algodón
26.414121,80.122810,6.957403,arroz
29.065236,54.964053,5.321627,mango
22.041220,80.122675,6.019323,arroz
25.179709,68.891049,6.518528,lenteja
28.585465,91.892168,6.085682,melón
29.767664,87.549088,6.899023,frijol chino
28.883021,50.123238,5.709512,frijol de palo
26.054330,79.396545,5.519088,plátano
22.956041,82.337337,6.360812,algodón
34.164389,54.164823,4.954740,mango
23.438896,73.068571,7.095641,yute
29.595129,92.494596,6.627733,melón
22.928887,93.444247,5.857995,manzana
20.824845,17.850571,7.599280,garbanzo
35.399863,49.459626,6.166174,mango
26.395947,77.027643,7.176679,yute
17.444838,18.790770,5.955026,frijol rojo
29.336441,77.396399,5.653553,plátano
19.364255,83.360940,5.980599,uva
23.357232,55.187922,6.026287,café
23.262376,72.331255,5.798424,maíz
26.700159,83.033012,6.015824,yute
24.591096,85.370636,6.397355,sandía
24.946801,83.231320,6.330254,uva
25.426516,71.873319,6.012191,yute
37.642402,94.797088,6.677736,papaya
27.826843,87.166791,6.389882,frijol chino
27.827487,92.590745,6.184056,melón
25.989049,83.893794,7.675827,arroz
27.240037,52.234075,5.490184,mango
29.559951,78.008212,5.505394,plátano
25.321410,81.731461,7.472859,algodón
19.265556,18.991601,7.803797,garbanzo
40.766126,94.548662,6.993473,papaya
18.973020,19.773423,7.446257,garbanzo
28.373840,83.672228,6.283958,frijol chino
19.122379,69.041765,6.755756,maíz
23.898298,46.699355,6.573748,frijol de palo
38.041673,82.279566,6.183807,uva
23.746281,59.144147,6.050537,café
31.172823,45.713540,6.775317,frijol moth
22.748434,20.882736,5.901974,frijol rojo
29.830881,93.791479,6.156085,melón
24.715010,75.347137,7.700314,algodón
30.026299,67.888116,7.261543,frijol urad
24.897282,80.525861,6.134287,arroz
25.726689,81.861716,6.626504,yute
28.862671,94.811002,6.189012,coco
17.473570,16.739790,6.903021,garbanzo
21.386918,92.672545,6.193154,manzana
19.000812,21.235369,5.887473,frijol rojo
23.569605,50.563397,6.906125,café
25.070954,90.266036,6.798952,naranja
28.647931,99.683662,6.251279,coco
28.234829,69.315996,6.313284,lenteja
23.010143,91.117642,6.708890,naranja
28.174327,81.045548,6.828187,frijol chino
22.812265,86.342338,6.276039,granada
26.373431,84.040638,7.503612,arroz
25.293915,79.291222,5.614471,plátano
20.108020,19.969789,7.237442,garbanzo
30.018665,42.101394,6.400761,frijol de palo
25.025894,55.510229,5.754815,maíz
23.285498,22.522173,5.842269,frijol rojo
29.172209,92.214052,6.293486,melón
29.018868,93.117056,6.350022,melón
25.736892,69.888764,6.827896,maíz
25.303016,68.593527,6.516989,café
13.687416,80.610664,6.293295,uva
22.891822,93.197148,5.825287,manzana
28.729897,85.637331,6.450405,frijol chino
25.585540,62.158354,9.258142,frijol moth
25.915270,92.244897,7.442710,naranja
24.668437,91.113733,7.069063,granada
17.128688,18.692566,5.964849,frijol rojo
31.463155,34.574029,5.718590,frijol de palo
32.292727,53.402860,4.708440,mango
28.429670,60.251972,7.163963,frijol urad
19.343732,46.645433,6.423352,frijol de palo
27.601955,63.461707,5.916454,lenteja
20.325953,59.691357,6.898618,maíz
19.541698,16.042749,6.555468,garbanzo
30.802170,58.242803,5.943365,frijol moth
22.150606,62.362569,6.369383,lenteja
21.985608,24.873048,5.852047,frijol rojo
23.973333,86.436792,6.113619,granada
25.031416,79.186380,7.337745,algodón
28.199121,53.505676,8.709292,frijol moth
24.746313,88.308663,6.581588,sandía
24.606828,82.617690,6.218058,sandía
27.376596,63.939278,6.155916,lenteja
37.035519,91.794302,6.551893,papaya
26.457078,56.402263,5.993514,frijol moth
26.521028,81.381663,6.224226,plátano
25.429009,82.914818,6.828983,sandía
31.675238,67.657063,7.098367,frijol urad
26.220557,85.185841,6.486813,sandía
29.220754,94.242276,6.002927,melón
28.410113,60.146681,6.185868,lenteja
32.597440,91.226401,6.504779,naranja
27.982020,60.871644,4.558646,frijol moth
18.438149,16.784668,8.772431,garbanzo
25.218624,84.976350,6.134705,plátano
25.701967,61.334504,6.960358,maíz
39.365406,94.320164,6.546194,papaya
27.789125,53.968867,5.643710,mango
27.734297,94.448988,6.325745,naranja
24.644695,44.964426,6.019636,frijol moth
